job_title,company_name,location,post_Date,Qualifications,post_days_ago
Machine Learning Engineer,Caterpillar,"Kansas City, MO",2 days ago,Strong programming skills in Python; Experience in a fast-paced environment; Master's in Computer Science,2
Machine Learning Engineer,Intel,"Cincinnati, OH",28 days ago,Strong analytical thinking; Master's in Computer Science; 5+ years of experience; Ability to work in teams,28
AI Researcher,Goldman Sachs,"Pittsburgh, PA",21 days ago,Experience with Agile methodologies; Strong communication skills; Experience with big data technologies; Familiarity with cloud services,21
Statistician,Tesla,"Detroit, MI",9 days ago,Strong programming skills in Python; Knowledge of statistical analysis; Familiarity with cloud services,9
Business Analyst,Pinterest,"Miami, FL",1 days ago,Master's in Computer Science; 5+ years of experience,1
Research Scientist,ExxonMobil,"Charlotte, NC",22 days ago,Experience with SQL; Knowledge of machine learning algorithms; Experience with Agile methodologies,22
Data Architect,Microsoft,"Cleveland, OH",19 days ago,Experience with SQL; Strong analytical thinking; Master's in Computer Science,19
Business Analyst,eBay,"Charlotte, NC",25 days ago,Strong analytical thinking; Strong communication skills; Strong programming skills in Python,25
Business Analyst,CVS Health,"New York, NY",6 days ago,Proficiency in data visualization tools; PhD in Statistics; Experience with SQL; Knowledge of machine learning algorithms,6
Machine Learning Engineer,American Express,"Chicago, IL",11 days ago,Experience in a fast-paced environment; Excellent problem-solving skills; Experience with Agile methodologies,11
Data Architect,Morgan Stanley,"Salt Lake City, UT",16 days ago,Knowledge of statistical analysis; Strong analytical thinking,16
Data Architect,Microsoft,"San Jose, CA",17 days ago,PhD in Statistics; Knowledge of machine learning algorithms; Experience with Agile methodologies,17
AI Researcher,PepsiCo,"Goleta, CA",6 days ago,Familiarity with cloud services; Experience with SQL; Knowledge of statistical analysis,6
Quantitative Analyst,Tesla,"Washington, D.C.",26 days ago,Strong programming skills in Python; PhD in Statistics; Familiarity with cloud services,26
Data Scientist,General Motors,"Pittsburgh, PA",10 days ago,Experience in a fast-paced environment; Strong analytical thinking; Experience with Agile methodologies,10
Business Analyst,Intel,"San Jose, CA",9 days ago,Excellent problem-solving skills; PhD in Statistics,9
Data Architect,Johnson & Johnson,"Omaha, NE",13 days ago,Experience with SQL; Strong analytical thinking; PhD in Statistics; Master's in Computer Science,13
Statistician,Qualcomm,"Phoenix, AZ",13 days ago,Excellent problem-solving skills; Experience in a fast-paced environment; Knowledge of machine learning algorithms; Familiarity with cloud services,13
Research Scientist,Salesforce,"Phoenix, AZ",11 days ago,PhD in Statistics; Strong communication skills; Ability to work in teams; Excellent problem-solving skills,11
Statistician,ExxonMobil,"Los Angeles, CA",14 days ago,Ability to work in teams; Familiarity with cloud services,14
Machine Learning Engineer,Target,"Washington, D.C.",6 days ago,Experience with SQL; Knowledge of machine learning algorithms,6
Quantitative Analyst,Meta,"Pittsburgh, PA",25 days ago,Familiarity with cloud services; Ability to work in teams; Master's in Computer Science,25
AI Researcher,T-Mobile,"Minneapolis, MN",24 days ago,Experience with big data technologies; Proficiency in data visualization tools,24
Data Architect,Bristol Myers Squibb,"Nashville, TN",16 days ago,Strong analytical thinking; 5+ years of experience; Strong communication skills,16
Statistician,AIG,"Mountain View, CA",27 days ago,Experience with big data technologies; Master's in Computer Science,27
Data Analyst,Verizon,"Indianapolis, IN",26 days ago,Familiarity with cloud services; Knowledge of statistical analysis; Master's in Computer Science,26
Quantitative Analyst,HP,"Dallas, TX",25 days ago,Experience with SQL; PhD in Statistics; Excellent problem-solving skills; Master's in Computer Science,25
Business Analyst,Meta,"Tampa, FL",4 days ago,Experience with SQL; 5+ years of experience,4
Statistician,Danaher,"Denver, CO",20 days ago,Experience with big data technologies; Excellent problem-solving skills,20
Research Scientist,PepsiCo,"Philadelphia, PA",5 days ago,Knowledge of machine learning algorithms; Master's in Computer Science,5
Research Scientist,Booking Holdings,"Tucson, AZ",3 days ago,Experience with big data technologies; Knowledge of machine learning algorithms; Familiarity with cloud services,3
Quantitative Analyst,DraftKings,"San Diego, CA",2 days ago,Experience with big data technologies; Strong programming skills in Python; Familiarity with cloud services,2
AI Researcher,Salesforce,"Goleta, CA",15 days ago,Familiarity with cloud services; 5+ years of experience; Experience with big data technologies,15
Data Architect,BlackRock,"Tampa, FL",14 days ago,Strong communication skills; Master's in Computer Science,14
Data Architect,CrowdStrike,"Atlanta, GA",21 days ago,Experience in a fast-paced environment; Excellent problem-solving skills; Experience with Agile methodologies; PhD in Statistics,21
Data Scientist,T. Rowe Price,"Washington, D.C.",17 days ago,Master's in Computer Science; Strong analytical thinking,17
Data Engineer,JPMorgan Chase,"Columbus, OH",13 days ago,Ability to work in teams; PhD in Statistics,13
Research Scientist,Lyft,"San Diego, CA",10 days ago,Experience with SQL; Strong programming skills in Python; Knowledge of machine learning algorithms,10
Quantitative Analyst,Tesla,"Goleta, CA",22 days ago,PhD in Statistics; Knowledge of machine learning algorithms,22
AI Researcher,Uber Technologies,"Goleta, CA",7 days ago,Experience with SQL; Strong programming skills in Python,7
Data Analyst,United Parcel Service,"Austin, TX",4 days ago,Experience with big data technologies; Experience in a fast-paced environment; Ability to work in teams; Strong analytical thinking,4
Quantitative Analyst,T. Rowe Price,"Dallas, TX",8 days ago,Familiarity with cloud services; Proficiency in data visualization tools; Excellent problem-solving skills; Experience with Agile methodologies,8
Business Analyst,Walt Disney,"Minneapolis, MN",21 days ago,Familiarity with cloud services; Strong analytical thinking; Experience with big data technologies,21
Research Scientist,Meta,"Atlanta, GA",22 days ago,Proficiency in data visualization tools; Experience with big data technologies,22
Data Scientist,ExxonMobil,"Columbus, OH",25 days ago,Strong analytical thinking; Ability to work in teams; Strong communication skills,25
Research Scientist,Morgan Stanley,"Birmingham, AL",15 days ago,Ability to work in teams; Experience with Agile methodologies; Experience with SQL,15
Data Engineer,Goldman Sachs,"Louisville, KY",1 days ago,Knowledge of machine learning algorithms; Strong communication skills,1
Research Scientist,BlackRock,"Goleta, CA",18 days ago,Knowledge of machine learning algorithms; Knowledge of statistical analysis; Excellent problem-solving skills,18
Research Scientist,Morgan Stanley,"Columbus, OH",17 days ago,Ability to work in teams; Master's in Computer Science,17
Research Scientist,Qualcomm,"Minneapolis, MN",16 days ago,Familiarity with cloud services; 5+ years of experience; Proficiency in data visualization tools,16
Data Scientist,General Motors,"Fresno, CA",24 days ago,Strong communication skills; Familiarity with cloud services,24
Data Architect,Danaher,"Kansas City, MO",22 days ago,Familiarity with cloud services; PhD in Statistics; Experience with SQL,22
Research Scientist,PepsiCo,"Salt Lake City, UT",2 days ago,Excellent problem-solving skills; Experience in a fast-paced environment; Knowledge of statistical analysis; Strong communication skills,2
AI Researcher,Thermo Fisher Scientific,"Portland, OR",11 days ago,Strong analytical thinking; PhD in Statistics,11
Data Architect,Ford Motor,"San Francisco, CA",3 days ago,Master's in Computer Science; Knowledge of statistical analysis; 5+ years of experience; Strong communication skills,3
Data Engineer,Starbucks,"Philadelphia, PA",4 days ago,Strong communication skills; Strong analytical thinking; Master's in Computer Science,4
AI Researcher,DraftKings,"Baltimore, MD",11 days ago,Excellent problem-solving skills; Strong communication skills; Experience in a fast-paced environment,11
Data Engineer,Apple,"Salt Lake City, UT",10 days ago,Proficiency in data visualization tools; Excellent problem-solving skills; Experience with big data technologies,10
Data Scientist,ExxonMobil,"Detroit, MI",19 days ago,Excellent problem-solving skills; Master's in Computer Science; Knowledge of statistical analysis,19
Statistician,BlackRock,"Chicago, IL",2 days ago,Excellent problem-solving skills; Knowledge of statistical analysis; Strong communication skills; Proficiency in data visualization tools,2
Data Engineer,Pinterest,"Philadelphia, PA",25 days ago,PhD in Statistics; Knowledge of machine learning algorithms; Familiarity with cloud services,25
Statistician,Intuit,"Sacramento, CA",12 days ago,Knowledge of machine learning algorithms; Experience in a fast-paced environment,12
AI Researcher,Intel,"Tampa, FL",29 days ago,Experience with SQL; Experience with big data technologies; 5+ years of experience,29
Data Engineer,NVIDIA,"Pittsburgh, PA",24 days ago,Experience with big data technologies; Experience with SQL; Familiarity with cloud services,24
Business Analyst,Zebra Technologies,"Mountain View, CA",25 days ago,Knowledge of statistical analysis; Experience with Agile methodologies; Experience in a fast-paced environment; Excellent problem-solving skills,25
Quantitative Analyst,Procter & Gamble,"Virginia Beach, VA",27 days ago,Experience with big data technologies; Experience in a fast-paced environment,27
Data Engineer,Caterpillar,"Phoenix, AZ",29 days ago,Experience with big data technologies; Excellent problem-solving skills; Ability to work in teams,29
Data Analyst,Booking Holdings,"Kansas City, MO",26 days ago,Knowledge of machine learning algorithms; Experience in a fast-paced environment; Proficiency in data visualization tools; Strong programming skills in Python,26
Data Analyst,Cisco,"Virginia Beach, VA",11 days ago,Experience with SQL; Excellent problem-solving skills; PhD in Statistics; Knowledge of statistical analysis,11
Data Scientist,Chevron,"Long Beach, CA",24 days ago,Experience in a fast-paced environment; Knowledge of machine learning algorithms; Ability to work in teams,24
Data Scientist,DraftKings,"Phoenix, AZ",3 days ago,Familiarity with cloud services; Experience in a fast-paced environment,3
Research Scientist,Coca-Cola,"Los Angeles, CA",24 days ago,Excellent problem-solving skills; 5+ years of experience; Strong analytical thinking,24
Machine Learning Engineer,Danaher,"Atlanta, GA",29 days ago,Proficiency in data visualization tools; Experience with SQL,29
Data Analyst,CrowdStrike,"Washington, D.C.",1 days ago,Ability to work in teams; Excellent problem-solving skills; Strong programming skills in Python; Experience with big data technologies,1
Business Analyst,Berkshire Hathaway,"Chicago, IL",12 days ago,Knowledge of machine learning algorithms; Experience with SQL,12
AI Researcher,Tesla,"Raleigh, NC",29 days ago,Ability to work in teams; Strong programming skills in Python; Experience with SQL,29
Data Analyst,Caterpillar,"San Jose, CA",15 days ago,Familiarity with cloud services; Experience in a fast-paced environment,15
Data Analyst,Alphabet,"San Francisco, CA",3 days ago,Ability to work in teams; Master's in Computer Science; Strong programming skills in Python,3
Statistician,Shopify,"Pittsburgh, PA",15 days ago,Master's in Computer Science; PhD in Statistics; Familiarity with cloud services; Ability to work in teams,15
Research Scientist,Nordstrom,"Cincinnati, OH",27 days ago,Knowledge of machine learning algorithms; Experience with big data technologies; Strong analytical thinking,27
Quantitative Analyst,UnitedHealth Group,"San Diego, CA",15 days ago,Excellent problem-solving skills; Experience in a fast-paced environment; Knowledge of machine learning algorithms; Proficiency in data visualization tools,15
AI Researcher,Square,"Detroit, MI",30 days ago,Knowledge of statistical analysis; Experience with Agile methodologies,30
Data Engineer,S&P Global,"Fresno, CA",25 days ago,Strong analytical thinking; Excellent problem-solving skills; Experience with Agile methodologies,25
Data Scientist,Pinterest,"Omaha, NE",8 days ago,5+ years of experience; Ability to work in teams,8
Business Analyst,General Electric,"Seattle, WA",9 days ago,Experience in a fast-paced environment; Experience with Agile methodologies; Strong analytical thinking; Familiarity with cloud services,9
Data Scientist,UnitedHealth Group,"Oklahoma City, OK",19 days ago,Experience with SQL; Strong programming skills in Python,19
AI Researcher,Square,"Milwaukee, WI",23 days ago,Excellent problem-solving skills; Experience in a fast-paced environment; Knowledge of statistical analysis,23
Business Analyst,BlackRock,"Atlanta, GA",2 days ago,Strong communication skills; Knowledge of statistical analysis; Strong analytical thinking,2
Statistician,eBay,"Fresno, CA",5 days ago,Knowledge of machine learning algorithms; Strong programming skills in Python; Master's in Computer Science,5
Research Scientist,CrowdStrike,"Pittsburgh, PA",9 days ago,Experience with Agile methodologies; PhD in Statistics,9
AI Researcher,IBM,"Chicago, IL",1 days ago,Experience with Agile methodologies; Master's in Computer Science; Strong analytical thinking; Experience with SQL,1
Quantitative Analyst,BlackRock,"Cleveland, OH",29 days ago,Strong analytical thinking; 5+ years of experience,29
Quantitative Analyst,Lowe's,"Cleveland, OH",20 days ago,Ability to work in teams; Knowledge of machine learning algorithms,20
Machine Learning Engineer,3M,"Seattle, WA",20 days ago,Experience in a fast-paced environment; Experience with big data technologies,20
Statistician,Bank of America,"Virginia Beach, VA",16 days ago,Ability to work in teams; Experience with SQL; Familiarity with cloud services; Strong communication skills,16
Research Scientist,AbbVie,"Cincinnati, OH",25 days ago,Experience in a fast-paced environment; Experience with SQL; Experience with Agile methodologies; Excellent problem-solving skills,25
Data Analyst,Delta Air Lines,"Chicago, IL",30 days ago,Ability to work in teams; PhD in Statistics; Experience with Agile methodologies; Experience with SQL,30
Data Architect,Shopify,"Houston, TX",30 days ago,Experience with SQL; Knowledge of machine learning algorithms; Experience with big data technologies; Strong programming skills in Python,30
Data Architect,Walt Disney,"Dallas, TX",4 days ago,Experience with Agile methodologies; Experience in a fast-paced environment; Excellent problem-solving skills; Strong programming skills in Python,4
Data Architect,American Airlines,"Virginia Beach, VA",21 days ago,Familiarity with cloud services; Experience in a fast-paced environment; Ability to work in teams,21
Statistician,Tesla,"Virginia Beach, VA",24 days ago,Experience in a fast-paced environment; PhD in Statistics; Ability to work in teams; Strong communication skills,24
Statistician,AbbVie,"Boston, MA",25 days ago,Ability to work in teams; Familiarity with cloud services; Experience with big data technologies,25
Data Analyst,S&P Global,"Louisville, KY",25 days ago,Strong programming skills in Python; Experience with SQL; Experience with Agile methodologies,25
AI Researcher,Cisco,"San Diego, CA",23 days ago,Proficiency in data visualization tools; 5+ years of experience; Familiarity with cloud services; Master's in Computer Science,23
Research Scientist,Walmart,"Los Angeles, CA",19 days ago,Ability to work in teams; Proficiency in data visualization tools; Knowledge of statistical analysis,19
Data Scientist,Johnson & Johnson,"Austin, TX",21 days ago,Proficiency in data visualization tools; 5+ years of experience; Experience in a fast-paced environment,21
Statistician,Walt Disney,"Dallas, TX",27 days ago,Knowledge of statistical analysis; Experience with SQL,27
AI Researcher,Snap Inc.,"Kansas City, MO",14 days ago,Experience with SQL; Familiarity with cloud services; Excellent problem-solving skills; Strong programming skills in Python,14
Statistician,Alphabet,"Goleta, CA",7 days ago,Experience with big data technologies; Excellent problem-solving skills; Ability to work in teams; Strong programming skills in Python,7
Machine Learning Engineer,Chevron,"Cincinnati, OH",15 days ago,Knowledge of machine learning algorithms; Experience with Agile methodologies; Familiarity with cloud services; Strong analytical thinking,15
Business Analyst,Walt Disney,"Detroit, MI",30 days ago,Experience with SQL; Excellent problem-solving skills; Familiarity with cloud services; PhD in Statistics,30
Data Engineer,Pfizer,"Omaha, NE",13 days ago,Ability to work in teams; 5+ years of experience,13
Data Architect,Coinbase,"San Francisco, CA",1 days ago,Strong communication skills; Experience with big data technologies; Strong programming skills in Python; Experience with SQL,1
Data Architect,Goldman Sachs,"Phoenix, AZ",20 days ago,Experience with big data technologies; Experience in a fast-paced environment; Knowledge of statistical analysis,20
Data Scientist,Wells Fargo,"New Orleans, LA",18 days ago,Strong communication skills; Ability to work in teams; 5+ years of experience,18
Data Engineer,Zebra Technologies,"Detroit, MI",1 days ago,Experience with big data technologies; Strong analytical thinking; Experience with Agile methodologies; Strong communication skills,1
AI Researcher,Honeywell,"Philadelphia, PA",23 days ago,Experience in a fast-paced environment; Knowledge of statistical analysis; Strong analytical thinking; PhD in Statistics,23
Business Analyst,Nordstrom,"Tucson, AZ",6 days ago,Knowledge of statistical analysis; 5+ years of experience; Ability to work in teams,6
Data Engineer,Square,"Virginia Beach, VA",18 days ago,Excellent problem-solving skills; Knowledge of machine learning algorithms,18
Data Engineer,Twilio,"Seattle, WA",28 days ago,5+ years of experience; Proficiency in data visualization tools,28
Research Scientist,Alibaba,"San Francisco, CA",26 days ago,Ability to work in teams; Knowledge of machine learning algorithms,26
Statistician,Apple,"Salt Lake City, UT",25 days ago,Experience in a fast-paced environment; Knowledge of machine learning algorithms; Experience with SQL; Ability to work in teams,25
Data Engineer,Lowe's,"Columbus, OH",16 days ago,PhD in Statistics; Experience in a fast-paced environment,16
Business Analyst,Anthem,"Birmingham, AL",24 days ago,PhD in Statistics; Knowledge of statistical analysis; Ability to work in teams,24
AI Researcher,Pinterest,"Atlanta, GA",22 days ago,Strong communication skills; PhD in Statistics,22
Quantitative Analyst,Zebra Technologies,"Charlotte, NC",25 days ago,Experience with SQL; Strong programming skills in Python; 5+ years of experience,25
Data Architect,Lowe's,"Washington, D.C.",25 days ago,Knowledge of machine learning algorithms; Experience with big data technologies,25
Data Architect,Walmart,"Los Angeles, CA",5 days ago,Strong analytical thinking; Strong programming skills in Python; Familiarity with cloud services; Excellent problem-solving skills,5
Business Analyst,Zoom Video Communications,"Portland, OR",30 days ago,Strong communication skills; Familiarity with cloud services; Experience with big data technologies,30
Data Architect,Lyft,"Houston, TX",29 days ago,Knowledge of machine learning algorithms; Strong communication skills,29
Machine Learning Engineer,Ford Motor,"Milwaukee, WI",12 days ago,PhD in Statistics; Experience with big data technologies,12
Machine Learning Engineer,Lyft,"Austin, TX",27 days ago,5+ years of experience; Excellent problem-solving skills; Knowledge of machine learning algorithms; Master's in Computer Science,27
Quantitative Analyst,General Motors,"San Francisco, CA",5 days ago,Master's in Computer Science; Strong programming skills in Python,5
Data Analyst,Qualcomm,"Sacramento, CA",16 days ago,Excellent problem-solving skills; Proficiency in data visualization tools; Master's in Computer Science,16
Quantitative Analyst,Twilio,"Raleigh, NC",28 days ago,Familiarity with cloud services; PhD in Statistics,28
AI Researcher,Coca-Cola,"Boston, MA",24 days ago,Experience in a fast-paced environment; Knowledge of statistical analysis; Knowledge of machine learning algorithms,24
Research Scientist,NVIDIA,"Atlanta, GA",4 days ago,Ability to work in teams; 5+ years of experience; Strong analytical thinking,4
Research Scientist,Danaher,"Los Angeles, CA",26 days ago,Excellent problem-solving skills; Familiarity with cloud services,26
Data Engineer,Visa,"Boston, MA",2 days ago,Master's in Computer Science; Knowledge of machine learning algorithms,2
Data Engineer,Apple,"Louisville, KY",15 days ago,Master's in Computer Science; Experience in a fast-paced environment; 5+ years of experience,15
Quantitative Analyst,Chevron,"Kansas City, MO",17 days ago,PhD in Statistics; Familiarity with cloud services; Strong communication skills,17
Data Architect,AT&T,"Atlanta, GA",27 days ago,Experience with SQL; Experience in a fast-paced environment,27
Data Analyst,Lyft,"Tampa, FL",26 days ago,Experience in a fast-paced environment; Ability to work in teams; Master's in Computer Science,26
Research Scientist,Kroger,"Phoenix, AZ",13 days ago,Knowledge of statistical analysis; Experience with big data technologies; Proficiency in data visualization tools; Experience with Agile methodologies,13
Business Analyst,Lockheed Martin,"Cleveland, OH",23 days ago,Strong analytical thinking; Knowledge of statistical analysis,23
AI Researcher,Wells Fargo,"Baltimore, MD",27 days ago,Experience with big data technologies; Strong analytical thinking; Experience in a fast-paced environment,27
Data Scientist,Verizon,"Raleigh, NC",16 days ago,Strong communication skills; Experience with big data technologies; Proficiency in data visualization tools,16
Machine Learning Engineer,3M,"Seattle, WA",9 days ago,Strong analytical thinking; Strong communication skills; Master's in Computer Science; Knowledge of statistical analysis,9
Data Engineer,Morgan Stanley,"Raleigh, NC",2 days ago,Familiarity with cloud services; Strong communication skills; Strong analytical thinking; Experience with big data technologies,2
Quantitative Analyst,Danaher,"Los Angeles, CA",2 days ago,Ability to work in teams; Experience with Agile methodologies,2
Quantitative Analyst,Kroger,"Louisville, KY",1 days ago,Proficiency in data visualization tools; Strong programming skills in Python; Experience in a fast-paced environment,1
Data Architect,Adobe,"Atlanta, GA",15 days ago,Knowledge of statistical analysis; Familiarity with cloud services,15
Data Engineer,AT&T,"Indianapolis, IN",10 days ago,Familiarity with cloud services; Experience in a fast-paced environment; Knowledge of machine learning algorithms,10
Business Analyst,CrowdStrike,"Columbus, OH",14 days ago,Ability to work in teams; Strong communication skills; Strong analytical thinking,14
Data Scientist,Boeing,"Fresno, CA",14 days ago,Knowledge of statistical analysis; Master's in Computer Science; Familiarity with cloud services,14
Data Analyst,Intuit,"Detroit, MI",13 days ago,Experience with SQL; Proficiency in data visualization tools; Knowledge of machine learning algorithms; Strong programming skills in Python,13
Data Architect,Chevron,"Cincinnati, OH",22 days ago,5+ years of experience; Experience in a fast-paced environment; Proficiency in data visualization tools,22
Research Scientist,Adobe,"New York, NY",4 days ago,5+ years of experience; PhD in Statistics; Experience with big data technologies; Proficiency in data visualization tools,4
AI Researcher,Target,"Birmingham, AL",16 days ago,Strong analytical thinking; Knowledge of machine learning algorithms; Master's in Computer Science; Familiarity with cloud services,16
Research Scientist,L3Harris Technologies,"Pittsburgh, PA",5 days ago,5+ years of experience; Knowledge of machine learning algorithms; Experience with big data technologies; Proficiency in data visualization tools,5
Data Scientist,Thermo Fisher Scientific,"New York, NY",28 days ago,Knowledge of machine learning algorithms; Knowledge of statistical analysis; Strong programming skills in Python; Experience in a fast-paced environment,28
AI Researcher,RingCentral,"Charlotte, NC",16 days ago,Excellent problem-solving skills; PhD in Statistics; 5+ years of experience,16
Statistician,Walt Disney,"Houston, TX",27 days ago,5+ years of experience; Experience with SQL; Excellent problem-solving skills,27
AI Researcher,United Parcel Service,"Philadelphia, PA",22 days ago,Knowledge of statistical analysis; Strong analytical thinking,22
Data Architect,Mastercard,"Baltimore, MD",9 days ago,Strong programming skills in Python; Strong communication skills; Proficiency in data visualization tools,9
Statistician,Shopify,"Austin, TX",3 days ago,Experience with Agile methodologies; Strong programming skills in Python; Strong analytical thinking; Excellent problem-solving skills,3
Research Scientist,Walt Disney,"Chicago, IL",25 days ago,Experience with SQL; Ability to work in teams; Experience with Agile methodologies; Knowledge of machine learning algorithms,25
Business Analyst,T-Mobile,"Fresno, CA",23 days ago,Experience with SQL; Strong programming skills in Python,23
Research Scientist,ServiceNow,"San Jose, CA",28 days ago,Strong programming skills in Python; Knowledge of machine learning algorithms; Experience with SQL,28
Data Analyst,BlackRock,"Milwaukee, WI",15 days ago,Experience in a fast-paced environment; Familiarity with cloud services; Master's in Computer Science; Strong communication skills,15
Quantitative Analyst,S&P Global,"New York, NY",29 days ago,Familiarity with cloud services; Strong communication skills; Master's in Computer Science,29
Statistician,Square,"Philadelphia, PA",22 days ago,Strong communication skills; Experience with Agile methodologies; Familiarity with cloud services,22
Data Architect,Ford Motor,"Tucson, AZ",29 days ago,Experience with big data technologies; Familiarity with cloud services; Strong communication skills; Excellent problem-solving skills,29
Quantitative Analyst,RingCentral,"Charlotte, NC",23 days ago,Master's in Computer Science; 5+ years of experience; Experience with big data technologies,23
AI Researcher,Qualcomm,"Denver, CO",9 days ago,5+ years of experience; Experience with big data technologies; Knowledge of machine learning algorithms; Strong programming skills in Python,9
Data Scientist,HP,"Goleta, CA",19 days ago,Experience with SQL; Experience with big data technologies; PhD in Statistics,19
Data Engineer,Square,"Portland, OR",6 days ago,Familiarity with cloud services; Strong programming skills in Python; Experience with Agile methodologies,6
Quantitative Analyst,Salesforce,"Denver, CO",19 days ago,Strong communication skills; Ability to work in teams; Experience with Agile methodologies; PhD in Statistics,19
Data Engineer,Verizon,"Mountain View, CA",23 days ago,5+ years of experience; Knowledge of machine learning algorithms,23
Data Scientist,Pinterest,"New York, NY",13 days ago,Experience in a fast-paced environment; Strong programming skills in Python,13
Machine Learning Engineer,RingCentral,"Austin, TX",11 days ago,Experience in a fast-paced environment; Proficiency in data visualization tools,11
AI Researcher,Coinbase,"Baltimore, MD",11 days ago,Knowledge of machine learning algorithms; Experience with Agile methodologies; 5+ years of experience; Strong analytical thinking,11
Quantitative Analyst,Shopify,"Austin, TX",30 days ago,5+ years of experience; Knowledge of machine learning algorithms; Knowledge of statistical analysis; Strong programming skills in Python,30
Statistician,AT&T,"Austin, TX",6 days ago,Strong analytical thinking; PhD in Statistics; Experience in a fast-paced environment; Experience with SQL,6
Business Analyst,Broadcom,"Portland, OR",4 days ago,Experience with SQL; Proficiency in data visualization tools; Familiarity with cloud services,4
Data Analyst,L3Harris Technologies,"San Diego, CA",2 days ago,Proficiency in data visualization tools; Experience with Agile methodologies; Familiarity with cloud services; Experience with SQL,2
Statistician,S&P Global,"New York, NY",25 days ago,Knowledge of statistical analysis; Strong programming skills in Python,25
Research Scientist,Honeywell,"Phoenix, AZ",24 days ago,Familiarity with cloud services; Master's in Computer Science,24
Quantitative Analyst,Zoom Video Communications,"Chicago, IL",8 days ago,PhD in Statistics; Knowledge of machine learning algorithms; Excellent problem-solving skills; Experience with Agile methodologies,8
Machine Learning Engineer,Cisco,"Virginia Beach, VA",6 days ago,Experience with big data technologies; Knowledge of statistical analysis; Familiarity with cloud services; Experience with SQL,6
Machine Learning Engineer,Nordstrom,"Detroit, MI",28 days ago,Strong programming skills in Python; Knowledge of machine learning algorithms; PhD in Statistics,28
Business Analyst,Adobe,"Tucson, AZ",9 days ago,Master's in Computer Science; Strong analytical thinking,9
Data Architect,T. Rowe Price,"Charlotte, NC",27 days ago,Knowledge of statistical analysis; Strong programming skills in Python,27
Data Analyst,3M,"Los Angeles, CA",19 days ago,Experience with big data technologies; 5+ years of experience,19
Data Analyst,Salesforce,"Austin, TX",29 days ago,Experience with Agile methodologies; Strong analytical thinking; Experience with SQL; Strong communication skills,29
Data Analyst,AbbVie,"Birmingham, AL",18 days ago,Familiarity with cloud services; Experience in a fast-paced environment; Strong programming skills in Python,18
Business Analyst,Snap Inc.,"Goleta, CA",27 days ago,Familiarity with cloud services; 5+ years of experience; Experience in a fast-paced environment; Experience with SQL,27
Data Architect,L3Harris Technologies,"Raleigh, NC",6 days ago,Experience with Agile methodologies; Master's in Computer Science; Knowledge of machine learning algorithms,6
Quantitative Analyst,CrowdStrike,"Oklahoma City, OK",12 days ago,Proficiency in data visualization tools; Strong programming skills in Python,12
Machine Learning Engineer,AIG,"Omaha, NE",5 days ago,Strong analytical thinking; Strong communication skills; Experience with big data technologies,5
Quantitative Analyst,Boeing,"Atlanta, GA",22 days ago,Proficiency in data visualization tools; 5+ years of experience; PhD in Statistics,22
Quantitative Analyst,Caterpillar,"San Diego, CA",7 days ago,Knowledge of statistical analysis; Strong programming skills in Python; Experience with big data technologies; 5+ years of experience,7
Research Scientist,Ford Motor,"Indianapolis, IN",2 days ago,Strong programming skills in Python; Experience in a fast-paced environment,2
Data Architect,Danaher,"Birmingham, AL",7 days ago,PhD in Statistics; 5+ years of experience; Experience with Agile methodologies; Experience in a fast-paced environment,7
Data Architect,United Parcel Service,"Milwaukee, WI",16 days ago,Strong communication skills; Experience in a fast-paced environment; Knowledge of machine learning algorithms; Ability to work in teams,16
Quantitative Analyst,3M,"Boston, MA",21 days ago,Master's in Computer Science; Knowledge of machine learning algorithms; Experience with SQL; Strong programming skills in Python,21
Data Engineer,DraftKings,"Dallas, TX",7 days ago,Experience in a fast-paced environment; Proficiency in data visualization tools; Master's in Computer Science; Knowledge of statistical analysis,7
Quantitative Analyst,CrowdStrike,"Philadelphia, PA",8 days ago,Strong programming skills in Python; Proficiency in data visualization tools; Knowledge of statistical analysis,8
Data Analyst,Lyft,"Cleveland, OH",18 days ago,Experience with Agile methodologies; Strong communication skills,18
Data Analyst,Ford Motor,"Philadelphia, PA",22 days ago,Experience with Agile methodologies; Strong programming skills in Python,22
Business Analyst,Gilead Sciences,"Fresno, CA",4 days ago,Strong programming skills in Python; Knowledge of statistical analysis; Strong communication skills; Master's in Computer Science,4
AI Researcher,General Electric,"Portland, OR",17 days ago,Familiarity with cloud services; 5+ years of experience,17
Business Analyst,S&P Global,"Philadelphia, PA",8 days ago,Proficiency in data visualization tools; Excellent problem-solving skills; Experience in a fast-paced environment,8
Data Analyst,Oracle,"Atlanta, GA",5 days ago,Excellent problem-solving skills; Proficiency in data visualization tools; Ability to work in teams,5
Data Engineer,Alibaba,"Washington, D.C.",28 days ago,Experience with SQL; Strong analytical thinking; Ability to work in teams,28
Data Architect,Broadcom,"Atlanta, GA",24 days ago,Proficiency in data visualization tools; Strong programming skills in Python,24
Data Engineer,Alphabet,"Omaha, NE",6 days ago,Familiarity with cloud services; Experience in a fast-paced environment; Strong programming skills in Python,6
Data Analyst,RingCentral,"Virginia Beach, VA",19 days ago,Knowledge of statistical analysis; Strong programming skills in Python; Master's in Computer Science; Excellent problem-solving skills,19
